,,,,,,,,,,,,,,,,,,,,,
Location,0-4,5-9,10-14,15-19,20-24,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60-64,65-69,70-74,75-79,80-84,85-89,90-94,95-99,100+
            Timor-Leste,178,154,154,153,130,115,90,69,47,54,48,40,30,20,18,11,5,2,0,0,0
            Vietnam,   7 892,   7 586,   7 098,   6 501,   6 820,   8 569,   8 437,   7 764,   7 034,   6 539,   5 868,   5 242,   4 331,   3 012,   1 652,   1 127,861,609,275,98,24
      Latin America and the Caribbean,   51 690,   52 197,   52 365,   53 546,   54 037,   53 313,   50 967,   48 480,   44 262,   39 865,   36 212,   32 150,   26 227,   20 888,   15 033,   10 348,   6 718,   3 616,   1 554,425,69
         Caribbean,   3 405,   3 514,   3 502,   3 454,   3 395,   3 293,   3 235,   2 937,   2 558,   2 691,   2 626,   2 446,   1 849,   1 537,   1 177,866,561,302,133,43,9
            Antigua and Barbuda,7,7,7,7,8,7,7,7,7,7,7,6,5,3,3,2,1,1,0,0,0
            Aruba,6,6,7,7,8,7,5,6,7,8,8,9,8,6,4,3,2,1,0,0,0
            Bahamas,27,27,31,33,33,33,28,27,28,29,26,24,18,12,8,6,3,1,0,0,0
            Barbados,15,15,18,19,19,19,18,19,19,20,20,20,19,15,12,8,6,4,2,1,0
            Cuba,571,628,604,643,701,720,831,692,618,944,998,969,607,567,449,355,230,122,56,18,3
            Curaçao,9,10,10,11,10,10,9,9,9,11,12,13,11,9,8,5,4,2,1,0,0
            Dominica,   1 003,997,977,959,940,915,826,739,668,606,541,473,389,294,204,137,95,53,23,8,2
            Grenada,9,9,9,8,9,10,9,9,7,6,6,6,6,4,3,2,1,1,0,0,0
            Guadeloupe,23,22,29,30,28,19,16,17,22,28,31,31,27,24,19,14,10,6,3,1,0
            Haiti,   1 263,   1 238,   1 202,   1 144,   1 065,979,906,826,627,479,424,366,293,231,151,109,62,27,8,2,0
            Jamaica,231,234,227,240,261,254,232,211,179,179,171,149,124,90,71,49,32,18,7,1,0
            Martinique,18,18,23,24,24,17,17,17,19,25,30,32,28,24,20,14,11,8,3,1,0
            Puerto Rico,84,156,210,184,143,145,157,175,196,203,212,202,196,165,158,116,78,47,22,8,2
            Saint Lucia,11,11,11,13,16,17,14,14,13,13,12,11,8,6,5,3,2,1,1,0,0
            Saint Vincent and the Grenadines,8,8,8,9,9,8,8,8,8,7,7,7,5,4,3,2,1,1,0,0,0
            Trinidad and Tobago,88,96,96,89,86,97,117,126,101,90,83,92,76,60,44,30,16,7,3,1,0
            United States Virgin Islands,6,7,7,7,6,6,5,5,6,6,7,7,7,7,6,5,2,1,0,0,0
         Central America,   16 051,   16 193,   16 068,   16 148,   15 763,   15 251,   13 731,   12 594,   11 531,   10 506,   9 024,   7 610,   6 134,   4 749,   3 269,   2 303,   1 446,821,359,103,16
            Belize,39,39,38,40,39,36,32,28,23,21,17,14,10,7,5,3,2,1,1,0,0
            Costa Rica,348,358,355,363,400,424,431,395,348,302,305,297,244,179,139,92,60,33,15,4,1
            El Salvador,576,571,578,588,633,583,474,408,382,344,303,265,221,185,140,109,75,38,12,2,0
            Guatemala,   2 065,   1 982,   1 926,   1 946,   1 802,   1 611,   1 354,   1 178,956,746,584,470,392,327,221,161,109,59,22,4,0
            Honduras,   1 017,989,   1 024,   1 041,   1 015,891,784,687,580,468,381,299,237,183,123,83,55,32,13,4,0
            Mexico,   10 959,   11 211,   11 141,   11 210,   10 940,   10 796,   9 790,   9 090,   8 532,   8 016,   6 925,   5 833,   4 669,   3 595,   2 467,   1 722,   1 059,610,275,81,13
            Nicaragua,657,660,637,603,585,581,549,506,421,342,274,233,199,149,83,67,43,22,9,2,0
            Panama,389,384,369,357,349,329,317,301,288,268,235,198,160,123,92,66,44,26,12,4,1
         South America,   32 234,   32 490,   32 794,   33 944,   34 879,   34 768,   34 002,   32 948,   30 173,   26 667,   24 563,   22 094,   18 244,   14 602,   10 587,   7 179,   4 711,   2 494,   1 063,280,44
            Argentina,   3 737,   3 710,   3 597,   3 539,   3 477,   3 520,   3 319,   3 122,   3 090,   2 638,   2 302,   2 123,   1 884,   1 645,   1 337,963,635,365,152,36,4
            Bolivia,   1 185,   1 179,   1 161,   1 137,   1 065,974,871,768,668,570,481,403,336,279,225,167,107,60,27,8,2
            Brazil,   14 475,   14 602,   14 942,   16 218,   17 152,   16 953,   17 148,   17 329,   15 661,   13 801,   12 823,   11 598,   9 468,   7 429,   5 309,   3 492,   2 317,   1 175,511,135,21
            Chile,   1 162,   1 266,   1 250,   1 244,   1 403,   1 593,   1 546,   1 400,   1 324,   1 254,   1 215,   1 138,982,809,581,412,274,162,77,20,4
            Colombia,   3 711,   3 703,   3 873,   4 246,   4 421,   4 426,   4 057,   3 753,   3 421,   3 030,   2 908,   2 636,   2 086,   1 685,   1 188,792,516,279,116,31,4
            Ecuador,   1 667,   1 611,   1 555,   1 561,   1 567,   1 470,   1 363,   1 230,   1 099,989,864,727,602,486,328,242,152,82,35,11,3
            French Guiana,36,30,29,29,25,21,19,20,19,17,15,12,10,7,4,3,1,1,0,0,0
            Guyana,74,74,70,75,77,68,44,49,45,45,43,37,30,21,15,8,7,2,1,1,0
            Paraguay,701,683,677,659,678,643,595,514,407,321,291,258,220,182,128,86,54,24,10,2,0
            Peru,   2 833,   2 612,   2 696,   2 439,   2 608,   2 768,   2 693,   2 538,   2 301,   2 046,   1 792,   1 522,   1 247,   1 029,732,523,345,175,59,12,1
            Suriname,52,53,52,51,49,47,43,40,35,38,33,32,22,15,11,7,5,2,1,0,0
